manufactureName|name|url|imagesrcURL
Nokia|3.1 C|https://www.gsmarena.com/nokia_3_1_c-9737.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-31-c.jpg
Nokia|3.1 A|https://www.gsmarena.com/nokia_3_1_a-9736.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-31-a.jpg
Nokia|2.2|https://www.gsmarena.com/nokia_2_2-9731.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-22.jpg
Nokia|X71|https://www.gsmarena.com/nokia_x71-9652.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-x71.jpg
Nokia|9 PureView|https://www.gsmarena.com/nokia_9_pureview-8867.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-9-pureview-.jpg
Nokia|4.2|https://www.gsmarena.com/nokia_4_2-9603.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-42.jpg
Nokia|3.2|https://www.gsmarena.com/nokia_3_2-9604.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-32.jpg
Nokia|1 Plus|https://www.gsmarena.com/nokia_1_plus-9538.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-1-plus.jpg
Nokia|210|https://www.gsmarena.com/nokia_210-9606.php|https://fdn2.gsmarena.com/vv/bigpic/nokia-210-2019.jpg
OnePlus|8 Pro|https://www.gsmarena.com/oneplus_8_pro-9919.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-pro.jpg
OnePlus|8|https://www.gsmarena.com/oneplus_8-10161.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-8.jpg
OnePlus|8 5G UW (Verizon)|https://www.gsmarena.com/oneplus_8_5g_uw_(verizon)-10226.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-5g-uw.jpg
OnePlus|8 5G (T-Mobile)|https://www.gsmarena.com/oneplus_8_5g_(t_mobile)-10229.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-8-5g-t-mobile.jpg
OnePlus|7T Pro 5G McLaren|https://www.gsmarena.com/oneplus_7t_pro_5g_mclaren-9928.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-pro-5g-mclaren-edition-.jpg
OnePlus|7T Pro|https://www.gsmarena.com/oneplus_7t_pro-9872.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-pro.jpg
OnePlus|7T|https://www.gsmarena.com/oneplus_7t-9816.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-7t-.jpg
OnePlus|7 Pro 5G|https://www.gsmarena.com/oneplus_7_pro_5g-9704.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg
OnePlus|7 Pro|https://www.gsmarena.com/oneplus_7_pro-9689.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg
OnePlus|7|https://www.gsmarena.com/oneplus_7-9623.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-7--.jpg
OnePlus|6T McLaren|https://www.gsmarena.com/oneplus_6t_mclaren-9469.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-6t-mclaren-edition.jpg
OnePlus|6T|https://www.gsmarena.com/oneplus_6t-9350.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-6t-thunder-purple.jpg
OnePlus|6|https://www.gsmarena.com/oneplus_6-9109.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-6-red.jpg
OnePlus|5T|https://www.gsmarena.com/oneplus_5t-8912.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-5t.jpg
OnePlus|5|https://www.gsmarena.com/oneplus_5-8647.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-5.jpg
OnePlus|3T|https://www.gsmarena.com/oneplus_3t-8416.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-3t-.jpg
OnePlus|3|https://www.gsmarena.com/oneplus_3-7995.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-3-.jpg
OnePlus|X|https://www.gsmarena.com/oneplus_x-7630.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-x.jpg
OnePlus|2|https://www.gsmarena.com/oneplus_2-6902.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-two.jpg
OnePlus|One|https://www.gsmarena.com/oneplus_one-6327.php|https://fdn2.gsmarena.com/vv/bigpic/oneplus-one.jpg
Oppo|Reno4 Pro 5G|https://www.gsmarena.com/oppo_reno4_pro_5g-10264.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-pro-5g.jpg
Oppo|Reno4 5G|https://www.gsmarena.com/oppo_reno4_5g-10265.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-5g.jpg
Oppo|A92|https://www.gsmarena.com/oppo_a92-10211.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-a92-.jpg
Oppo|Find X2 Neo|https://www.gsmarena.com/oppo_find_x2_neo-10195.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x2-neo.jpg
Oppo|A92s|https://www.gsmarena.com/oppo_a92s-10184.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-a92s.jpg
Oppo|A72|https://www.gsmarena.com/oppo_a72-10196.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-a72.jpg
Oppo|A52|https://www.gsmarena.com/oppo_a52-10194.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-a52.jpg
Oppo|A12|https://www.gsmarena.com/oppo_a12-10171.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-a12.jpg
Oppo|Find X2 Lite|https://www.gsmarena.com/oppo_find_x2_lite-10176.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x2-lite.jpg
Oppo|Ace2|https://www.gsmarena.com/oppo_ace2-10164.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-reno-ace2-new.jpg
Oppo|A12e|https://www.gsmarena.com/oppo_a12e-10173.php|https://fdn2.gsmarena.com/vv/bigpic/oppo-a12e.jpg
